,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
134,5218706,GO,RIANÁPOLIS,62
135,5218607,GO,RIALMA,62
136,5218508,GO,QUIRINÓPOLIS,64
137,5218391,GO,PROFESSOR JAMIL,64
138,5218300,GO,POSSE,62
139,5218102,GO,PORTELÂNDIA,64
140,5218052,GO,PORTEIRÃO,64
141,5218003,GO,PORANGATU,62
142,5217708,GO,PONTALINA,64
143,5217609,GO,PLANALTINA,61
144,5217401,GO,PIRES DO RIO,64
145,5217302,GO,PIRENÓPOLIS,62
146,5217203,GO,PIRANHAS,64
147,5217104,GO,PIRACANJUBA,64
148,5216908,GO,PILAR DE GOIÁS,62
149,5216809,GO,PETROLINA DE GOIÁS,62
150,5216452,GO,PEROLÂNDIA,64
151,5216403,GO,PARAÚNA,64
152,5216304,GO,PARANAIGUARA,64
153,5216007,GO,PANAMÁ,64
154,5215900,GO,PALMINÓPOLIS,64
155,5215801,GO,PALMELO,64
156,5215702,GO,PALMEIRAS DE GOIÁS,64
157,5215652,GO,PALESTINA DE GOIÁS,64
158,5215603,GO,PADRE BERNARDO,61
159,5215504,GO,OUVIDOR,64
160,5215405,GO,OURO VERDE DE GOIÁS,62
161,5215306,GO,ORIZONA,64
162,5215256,GO,NOVO PLANALTO,62
163,5215231,GO,NOVO GAMA,61
164,5215207,GO,NOVO BRASIL,62
165,5215009,GO,NOVA VENEZA,62
166,5214903,GO,NOVA ROMA,62
167,5214879,GO,NOVA IGUAÇU DE GOIÁS,62
168,5214861,GO,NOVA GLÓRIA,62
169,5214838,GO,NOVA CRIXÁS,62
170,5214804,GO,NOVA AURORA,64
171,5214705,GO,NOVA AMÉRICA,62
172,5214606,GO,NIQUELÂNDIA,62
173,5214507,GO,NERÓPOLIS,62
174,5214408,GO,NAZÁRIO,64
175,5214101,GO,MUTUNÓPOLIS,62
176,5214051,GO,MUNDO NOVO,62
177,5214002,GO,MOZARLÂNDIA,62
178,5213905,GO,MOSSÂMEDES,64
179,5213855,GO,MORRO AGUDO DE GOIÁS,62
180,5213806,GO,MORRINHOS,64
181,5213772,GO,MONTIVIDIU DO NORTE,62
182,5213756,GO,MONTIVIDIU,64
183,5213707,GO,MONTES CLAROS DE GOIÁS,62
184,5213509,GO,MONTE ALEGRE DE GOIÁS,62
185,5213400,GO,MOIPORÁ,64
186,5213103,GO,MINEIROS,64
187,5213087,GO,MINAÇU,62
188,5213053,GO,MIMOSO DE GOIÁS,62
189,5213004,GO,MAURILÂNDIA,64
190,5212956,GO,MATRINCHÃ,62
191,5212907,GO,MARZAGÃO,64
192,5212808,GO,MARA ROSA,62
193,5212709,GO,MAMBAÍ,62
194,5212600,GO,MAIRIPOTABA,64
195,5212501,GO,LUZIÂNIA,61
196,5212303,GO,LEOPOLDO DE BULHÕES,62
197,5212253,GO,LAGOA SANTA,64
198,5212204,GO,JUSSARA,62
199,5212105,GO,JOVIÂNIA,64
200,5212055,GO,JESÚPOLIS,62
201,5212006,GO,JAUPACI,64
202,5211909,GO,JATAÍ,64
203,5211800,GO,JARAGUÁ,62
204,5211701,GO,JANDAIA,64
205,5211602,GO,IVOLÂNDIA,64
206,5211503,GO,ITUMBIARA,64
207,5211404,GO,ITAUÇU,62
208,5211305,GO,ITARUMÃ,64
209,5211206,GO,ITAPURANGA,62
210,5211008,GO,ITAPIRAPUÃ,62
211,5210901,GO,ITAPACI,62
212,5210802,GO,ITAJÁ,64
213,5210604,GO,ITAGUARU,62
214,5210562,GO,ITAGUARI,62
215,5210406,GO,ITABERAÍ,62
216,5210307,GO,ISRAELÂNDIA,64
217,5210208,GO,IPORÁ,64
218,5210109,GO,IPAMERI,64
219,5210000,GO,INHUMAS,62
220,5209952,GO,INDIARA,64
221,5209937,GO,INACIOLÂNDIA,64
222,5209903,GO,IACIARA,62
223,5209804,GO,HIDROLINA,62
224,5209705,GO,HIDROLÂNDIA,62
225,5209606,GO,HEITORAÍ,62
226,5209457,GO,GUARINOS,62
227,5209408,GO,GUARANI DE GOIÁS,62
228,5209291,GO,GUARAÍTA,62
229,5209200,GO,GUAPÓ,62
230,5209150,GO,GOUVELÂNDIA,64
231,5209101,GO,GOIATUBA,64
232,5208905,GO,GOIÁS,62
233,5208806,GO,GOIANIRA,62
234,5208707,GO,GOIÂNIA,62
235,5208608,GO,GOIANÉSIA,62
236,5208509,GO,GOIANDIRA,64
237,5208400,GO,GOIANÁPOLIS,62
238,5208301,GO,DIVINÓPOLIS DE GOIÁS,62
239,5208103,GO,FORMOSO,62
240,5208004,GO,FORMOSA,61
241,5207907,GO,FLORES DE GOIÁS,62
242,5207808,GO,FIRMINÓPOLIS,64
243,5207600,GO,FAZENDA NOVA,62
244,5207535,GO,FAINA,62
245,5207501,GO,ESTRELA DO NORTE,62
246,5207402,GO,EDÉIA,64
247,5207352,GO,EDEALINA,64
248,5207253,GO,DOVERLÂNDIA,64
249,5207105,GO,DIORAMA,64
250,5206909,GO,DAVINÓPOLIS,64
251,5206800,GO,DAMOLÂNDIA,62
